Time,Location,Magnitude,Depth,URL
2024-06-01 07:11:37.232,"Kermadec Islands, New Zealand",5.2,30.496,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mpdr
2024-06-01 05:06:56.784,Kermadec Islands region,5.1,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mpcc
2024-06-01 01:10:59.107,"7 km NW of Hualien City, Taiwan",5.2,25.304,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mpaw
2024-05-31 23:54:40.923,Kermadec Islands region,6.2,16.0,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mp9e
2024-05-31 23:46:09.810,Prince Edward Islands region,6.2,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mp99
2024-05-31 23:44:11.792,southeast of the Loyalty Islands,5.0,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mp9a
2024-05-31 16:35:01.812,South Sandwich Islands region,5.6,35.823,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mp5r
2024-05-31 01:08:17.919,"148 km NNW of Kendari, Indonesia",5.0,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mp1j
2024-05-30 07:40:04.865,"120 km WNW of Sola, Vanuatu",5.0,35.0,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mnvu
2024-05-30 01:14:58.129,"210 km SE of Kushimoto, Japan",5.5,392.698,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mnu8
2024-05-29 21:13:27.000,"29 km ESE of Mawlaik, Myanmar",5.4,97.552,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mnrr
2024-05-29 06:02:37.989,"94 km NNE of Hihifo, Tonga",5.0,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mnmx
2024-05-28 19:52:40.252,"93 km WNW of Sinabang, Indonesia",5.7,21.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n1gi
2024-05-28 03:53:57.681,"241 km SSW of Boyolangu, Indonesia",5.0,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n1bz
2024-05-27 11:07:11.247,"44 km N of Yongning, China",5.1,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n177
2024-05-27 09:51:16.226,"82 km S of Panguna, Papua New Guinea",5.2,52.998,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n16u
2024-05-27 08:47:30.659,"82 km SSW of Paratunka, Russia",5.2,125.315,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n16q
2024-05-27 05:47:47.612,"130 km E of ‘Ohonua, Tonga",5.0,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n15w
2024-05-27 04:47:12.057,"70 km NW of Fangale’ounga, Tonga",6.6,137.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n158
2024-05-26 22:24:09.824,"130 km ESE of Antofagasta, Chile",5.1,99.994,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n13x
2024-05-26 14:17:05.451,Pacific-Antarctic Ridge,5.3,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n11x
2024-05-26 06:23:15.997,"83 km NW of Port-Vila, Vanuatu",6.3,22.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n102
2024-05-25 16:08:58.450,"67 km E of Ust’-Kamchatsk Staryy, Russia",5.1,29.395,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n0x8
2024-05-25 15:37:17.629,"117 km WNW of Ternate, Indonesia",5.0,11.972,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n0x4
2024-05-25 10:49:43.242,northern Mid-Atlantic Ridge,5.1,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n0w4
2024-05-24 23:51:29.453,"144 km NE of Kavieng, Papua New Guinea",5.0,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n0s9
2024-05-24 13:13:49.751,"199 km SSE of Burica, Panama",5.1,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n0mu
2024-05-24 01:07:30.637,"71 km SW of Gerāsh, Iran",5.1,8.617,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n0iw
2024-05-23 19:27:02.721,Southwest Indian Ridge,5.6,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n0ee
2024-05-23 18:49:59.715,Carlsberg Ridge,5.5,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n0e7
2024-05-23 12:19:00.764,"37 km NNW of Finschhafen, Papua New Guinea",5.0,90.235,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n0da
2024-05-22 23:44:58.156,"241 km SE of Hihifo, Tonga",5.1,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n09y
2024-05-22 16:00:40.725,"28 km SE of Hualien City, Taiwan",5.2,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n082
2024-05-22 13:49:12.684,"81 km ESE of Gorontalo, Indonesia",5.0,127.916,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n07e
2024-05-22 13:34:19.975,"63 km W of Mosquera, Colombia",5.0,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n077
2024-05-21 19:09:53.344,Pacific-Antarctic Ridge,5.3,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n00r
2024-05-21 17:50:43.066,"199 km N of Sola, Vanuatu",5.4,248.263,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n00g
2024-05-21 16:31:56.954,"261 km ESE of Biak, Indonesia",5.3,22.062,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n004
2024-05-21 16:21:10.007,"72 km NE of Calama, Chile",5.0,106.413,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n003
2024-05-21 11:35:59.152,"57 km NE of Lae, Papua New Guinea",5.7,57.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mzyf
2024-05-21 10:43:10.935,"3 km S of Piñas, Ecuador",5.1,84.173,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mzyb
2024-05-21 08:39:39.428,"Bonin Islands, Japan region",5.4,59.788,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mzxt
2024-05-21 07:53:50.675,"5 km WSW of Azángaro, Peru",5.1,227.361,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mzxl
2024-05-21 03:42:15.945,"81 km S of Dampit, Indonesia",5.0,88.44,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mzw3
2024-05-20 13:10:23.334,"113 km NE of Kashgar, China",5.1,29.068,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mzrr
2024-05-20 06:53:03.215,South Sandwich Islands region,5.0,36.265,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mzqp
2024-05-20 02:30:04.343,"48 km NE of Lae, Papua New Guinea",5.3,64.474,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mzps
2024-05-19 19:21:16.140,"159 km WSW of Nikolski, Alaska",5.0,36.247,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mzmv
2024-05-19 17:39:41.881,"148 km SW of La Placita de Morelos, Mexico",5.2,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mzmh
2024-05-19 17:35:24.660,"169 km SW of Nikolski, Alaska",6.0,28.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mzme
2024-05-19 10:31:21.777,north of Svalbard,5.5,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mzkf
2024-05-19 07:57:41.081,southern East Pacific Rise,5.9,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mzjx
2024-05-18 22:04:43.532,"39 km N of Rabaul, Papua New Guinea",5.7,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mzgb
2024-05-18 14:26:09.996,"267 km SSE of Tabiauan, Philippines",5.5,524.072,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mze2
2024-05-18 11:06:55.445,South Indian Ocean,5.2,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mzcu
2024-05-18 09:41:50.785,South Sandwich Islands region,5.0,47.108,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mzcb
2024-05-18 04:58:26.824,"Kermadec Islands, New Zealand",5.8,191.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mzau
2024-05-16 15:29:20.203,Fiji region,5.0,577.572,https://earthquake.usgs.gov/earthquakes/eventpage/us6000myx5
2024-05-16 14:31:36.942,"82 km WNW of Rabaul, Papua New Guinea",5.4,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mywx
2024-05-16 13:13:54.223,"49 km WSW of Santiago, Peru",5.2,35.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mywl
2024-05-16 11:48:01.274,"89 km SE of Finschhafen, Papua New Guinea",5.2,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mywa
2024-05-16 06:14:19.887,southern Mid-Atlantic Ridge,5.3,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000myub
2024-05-16 04:38:37.785,Mid-Indian Ridge,5.2,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mytv
2024-05-15 14:45:59.912,"61 km NW of Neiafu, Tonga",5.0,109.032,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mypk
2024-05-15 09:41:04.229,Kermadec Islands region,5.1,71.129,https://earthquake.usgs.gov/earthquakes/eventpage/us6000myn1
2024-05-15 08:30:11.410,"92 km NNW of San Antonio, Puerto Rico",5.6,7.0,https://earthquake.usgs.gov/earthquakes/eventpage/pr2024136000
2024-05-15 01:15:48.751,"10 km S of Kimbe, Papua New Guinea",5.6,121.182,https://earthquake.usgs.gov/earthquakes/eventpage/us6000myk7
2024-05-15 00:42:54.251,Pacific-Antarctic Ridge,5.1,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n02r
2024-05-14 23:43:51.877,Pacific-Antarctic Ridge,5.1,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000myjs
2024-05-14 23:09:28.296,Pacific-Antarctic Ridge,5.3,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n02t
2024-05-14 23:07:59.923,Pacific-Antarctic Ridge,5.6,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000myih
2024-05-14 16:11:10.486,"15 km NNW of Gili Trawangan, Indonesia",5.3,22.776,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mygm
2024-05-13 20:32:35.961,"112 km WNW of Kandrian, Papua New Guinea",5.2,173.22,https://earthquake.usgs.gov/earthquakes/eventpage/us6000my9b
2024-05-13 17:18:49.451,"79 km W of Constitución, Chile",5.2,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000my8g
2024-05-13 10:46:59.932,central East Pacific Rise,5.3,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000my7f
2024-05-13 08:28:13.427,"85 km NW of Modisi, Indonesia",5.3,274.091,https://earthquake.usgs.gov/earthquakes/eventpage/us6000my6q
2024-05-13 08:24:49.483,"115 km SSW of Lata, Solomon Islands",5.1,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000my6p
2024-05-13 02:43:22.490,Kermadec Islands region,5.8,40.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000my4x
2024-05-12 19:39:12.718,"28 km WSW of Brisas Barra de Suchiate, Mexico",6.4,61.91,https://earthquake.usgs.gov/earthquakes/eventpage/us6000my20
2024-05-12 11:26:20.091,"Kermadec Islands, New Zealand",5.4,50.745,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mxzs
2024-05-12 02:27:04.310,"109 km ENE of Luganville, Vanuatu",5.1,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mxys
2024-05-11 08:47:16.033,"107 km SE of Hiroo, Japan",5.0,11.196,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mxw5
2024-05-10 19:48:41.811,"100 km SSW of Kokopo, Papua New Guinea",5.6,42.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mxpy
2024-05-10 15:45:18.196,"38 km NE of Hualien City, Taiwan",5.8,11.296,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mxpi
2024-05-09 11:08:47.801,"106 km ENE of Luganville, Vanuatu",5.0,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mxcp
2024-05-08 19:51:39.375,"114 km ENE of Luganville, Vanuatu",5.2,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mx7t
2024-05-08 19:06:20.114,"105 km ENE of Luganville, Vanuatu",5.4,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mx7c
2024-05-08 18:00:58.595,"19 km SSW of Ollagüe, Chile",5.2,106.573,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mx68
2024-05-08 16:17:15.894,"101 km ENE of Luganville, Vanuatu",6.1,19.175,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mx5c
2024-05-08 07:28:24.730,West Chile Rise,5.0,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mx3q
2024-05-07 22:34:58.484,east of the South Sandwich Islands,5.6,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mwyt
